Toy #,Col.#,Model Name,Series,Series #,Photo
HYW18,1,Mazda MX-5 Miata,HW Dream Garage New for 2025!,2/5,
HYX57,1,Mazda MX-5 Miata (2nd Color),HW Dream Garage New for 2025!,2/5,
HYW60,2,Batman and Robin Batmobile,Batman,1/5,
HYX61,2,Batman and Robin Batmobile (2nd Color),Batman,1/5,
HYW61,3,Monster High Ghoul Mobile,HW Screen Time,1/10,
HYX62,3,Monster High Ghoul Mobile (2nd Color),HW Screen Time,1/10,
HYY72,4,Nissan Skyline GT-R (BNR32),HW Screen Time,2/10,
HYW63,5,Purple Passion,HW Designed By,1/5,
HYX55,5,Purple Passion (2nd Color),HW Designed By,1/5,
HYW64,6,Kowloon'd Hypervan,HW Metro,1/5,
HYX75,6,Kowloon'd Hypervan (2nd Color),HW Metro,1/5,
HYW65,7,Small Bloc,HW Metro,2/5,
HYY40,7,Small Bloc (2nd Color),Red Edition Target Exclusive,3/12,
HYX56,7,Small Bloc (3rd Color),HW Metro,2/5,
HYW66,8,Mazda Autozam,HW Dream Garage,1/5,
HYY10,8,Mazda Autozam (2nd Color - Zamac),HW Dream Garage Walmart Exclusive,1/5,
HYX45,8,Mazda Autozam (3rd Color),HW Dream Garage,1/5,
HYW86,9,Tesla Model S Plaid,HW EV,1/10,
HYX58,9,Tesla Model S Plaid (2nd Color),HW EV,1/10,
HYW67,10,Deora III,HW EV,2/10,
HYX47,10,Deora III (2nd Color),HW EV,2/10,
HYW14,11,Kei Swap,HW Art Cars New for 2025!,1/10,
HYX95,11,Kei Swap (2nd Color),HW Art Cars New for 2025!,1/10,
HYW68,12,Custom '53 Chevy,HW Art Cars,2/10,
HYY11,12,Custom '53 Chevy (2nd Color - Zamac),HW Art Cars Walmart Exclusive,2/10,
HYW69,13,Nerve Hammer,X-Raycers,1/10,
HYX66,13,Nerve Hammer (2nd Color),X-Raycers,1/10,
HYW70,14,Draftnator,X-Raycers,2/10,
HYY31,14,Draftnator (2nd Color),X-Raycers Kroger Exclusive,2/10,
HYX67,14,Draftnator (3rd Color),X-Raycers,2/10,
HYW13,15,Morgan Super 3,Factory Fresh New for 2025!,1/5,
HYY33,15,Morgan Super 3 (2nd Color),Factory Fresh New for 2025! Kroger Exclusive,1/5,
HYX48,15,Morgan Super 3 (3rd Color),Factory Fresh New for 2025!,1/5,
HYW72,16,'87 Audi quattro,Factory Fresh,2/5,
JBC35,16,'87 Audi quattro,Factory Fresh Super Treasure Hunt,2/5,
JBC20,17,Ford Performance Supervan 4,HW First Response Treasure Hunt,1/5,
HYW71,18,Alpha Pursuit,HW First Response,2/5,
HYX49,18,Alpha Pursuit (2nd Color),HW First Response,2/5,
HYW12,19,Super Twin Mill,Hot Wheels Let's Race New for 2025!,1/5,
JBB72,19,Super Twin Mill (2nd Color),Hot Wheels Let's Race New for 2025!,1/5,
HYW73,20,'21 Ford Bronco,HW Hot Trucks,1/10,
HYY32,20,'21 Ford Bronco (2nd Color),HW Hot Trucks Kroger Exclusive,1/10,
HYX50,20,'21 Ford Bronco (3rd Color),HW Hot Trucks,1/10,
HYW74,21,'67 Chevy C10,HW Hot Trucks,2/10,
HYX51,21,'67 Chevy C10 (2nd Color),HW Hot Trucks,2/10,
HYW75,22,Bogzilla,HW Ride-Ons,1/5,
HYX52,22,Power Wheels Dune Racer,HW Ride-Ons,1/5,
HYW76,23,Kick Kart,HW Ride-Ons,2/5,
JBB90,23,Kick Kart (2nd Color),HW Ride-Ons,2/5,
HYW77,24,Custom Cadillac Fleetwood,Rod Squad,1/10,
HYY39,24,Custom Cadillac Fleetwood (2nd Color),Red Edition Target Exclusive,2/12,
HYW78,25,Max Steel,Rod Squad,2/10,
HYX53,25,Max Steel (2nd Color),Rod Squad,2/10,
HYW79,26,Nissan Skyline 2000GT-R LBWK,HW J-Imports,1/5,
HYY30,26,Nissan Skyline 2000GT-R LBWK (2nd Color),HW J-Imports Kroger Exclusive,1/5,
HYX54,26,Nissan Skyline 2000GT-R LBWK (3rd Color),HW J-Imports,1/5,
HYW80,27,Twin Mill Gen-E,HW Celebration Racers Chinese New Year,1/10,
HYW81,28,'90 Honda Civic EF,HW: '70s vs. '90s,1/10,
HYY38,28,'90 Honda Civic EF (2nd Color),Red Edition Target Exclusive,1/12,
HYX90,28,'90 Honda Civic EF (3rd Color),HW: '70s vs. '90s,1/10,
HYW82,29,'94 Audi Avant RS2,HW: '70s vs. '90s,2/10,
HYX60,29,'94 Audi Avant RS2 (2nd Color),HW: '70s vs. '90s,2/10,
HYW83,30,Standard Kart,HW Screen Time,3/10,
HYW84,31,X-34 Landspeeder,HW Screen Time,4/10,
JBC21,32,Fish'd & Chip'd,HW Designed By Treasure Hunt,2/5,
HYW85,33,Fiat 500e,HW EV,3/10,
HYW19,34,Ford Mustang GTD,Mustang 60th New for 2025!,1/5,
JBB93,34,Ford Mustang GTD (2nd Color),Mustang 60th New for 2025!,1/5,
HYY87,35,The Vanster,HW Art Cars,3/10,
HYX65,35,The Vanster (2nd Color),HW Art Cars,3/10,
HYW88,36,DMC DeLorean,HW Art Cars,5/10,
HYX59,36,DMC DeLorean (2nd Color),HW Art Cars,5/10,
HYW89,37,Crescendo,X-Raycers,3/10,
HYX85,37,Crescendo (2nd Color),X-Raycers,3/10,
HYW90,38,Proton Saga,Factory Fresh,3/5,
HYW91,39,2020 Ram 1500 Rebel,HW First Response,3/5,
HYY42,39,2020 Ram 1500 Rebel (2nd Color),Red Edition Target Exclusive,5/12,
HYW92,40,Donut Drifter,Hot Wheels Let's Race,2/5,
HYW93,41,Lamborghini Huracán Sterrato,Safari Mode,1/5,
HYY45,41,Lamborghini Huracán Sterrato (2nd Color),Red Edition Target Exclusive,8/12,
JBB86,41,Lamborghini Huracán Sterrato (3rd Color),Safari Mode,1/5,
HYW17,42,Haulerback,HW Hot Trucks New for 2025!,3/10,
HYX68,42,Haulerback (2nd Color),HW Hot Trucks New for 2025!,3/10,
HYW94,43,'80 El Camino,HW Hot Trucks,4/10,
HYW95,44,1988 Jeep Wagoneer,HW Hot Trucks,5/10,
HYY13,44,1988 Jeep Wagoneer (2nd Color - Zamac),HW Hot Trucks Walmart Exclusive,5/10,
HYW96,45,'55 Chevy,Rod Squad,3/10,
HYY15,45,'55 Chevy (2nd Color - Zamac),Rod Squad Walmart Exclusive,3/10,
HYW97,46,Hirohata Merc,Rod Squad,4/10,
JBC36,46,Hirohata Merc,Rod Squad Super Treasure Hunt,4/10,
HYW98,47,Mazda REPU,HW J-Imports,2/5,
HYW99,48,Subaru BRZ,HW J-Imports New in Mainline,3/5,
HYY12,48,Subaru BRZ (2nd Color - Zamac),HW J-Imports New in Mainline Walmart Exclusive,3/5,
JBB55,48,Subaru BRZ (3rd Color),HW J-Imports New in Mainline,3/5,
HYX00,49,'22 Ford Maverick Custom,HW Modified,1/5,
HYW16,50,'66 Buick Riviera,HW Modified New for 2025!,2/5,
JBB56,50,'66 Buick Riviera (2nd Color),HW Modified New for 2025!,2/5,
HYX01,51,'69 Corvette Racer,HW Celebration Racers Valentine's Day,2/10,
HYX02,52,Mercedes-Benz 500 E,HW: '70s vs. '90s,3/10,
HYY43,52,Mercedes-Benz 500 E (2nd Color),Red Edition Target Exclusive,6/12,
JBB60,52,Mercedes-Benz 500 E (3rd Color),HW: '70s vs. '90s,3/10,
HYX03,53,'70 Chevy Camaro RS,HW: '70s vs. '90s,4/10,
HYX04,54,Batman: Arkham Asylum Batmobile,Batman,2/5,
HYX81,54,Batman: Arkham Asylum Batmobile (2nd Color),Batman,2/5,
HYX05,55,Humvee,HW Dirt,1/10,
HYX26,56,'70 Dodge Power Wagon,HW Dirt,2/10,
JBC22,57,Mailed It!,HW Metro Treasure Hunt,3/5,
HYW21,58,Maserati Shamal,HW Metro New for 2025!,4/5,
HYX76,58,Maserati Shamal (2nd Color),HW Metro New for 2025!,4/5,
HYW10,59,Oracle Red Bull Racing,Track Aces New for 2025!,1/5,
JBC07,59,Williams Racing,Track Aces New for 2025!,1/5,
HYX78,59,Mercedes-AMG Petronas Formula One Team,Track Aces New for 2025!,1/5,
HYX06,60,Supercharged,HW EV,5/10,
HYX64,60,Supercharged (2nd Color),HW EV,5/10,
HYX07,61,Hi-Roller II,HW Art Cars,6/10,
JBC37,61,Hi-Roller II,HW Art Cars Super Treasure Hunt,6/10,
JJB80,62,Datsun 240Z,HW Art Cars,4/10,
HYY44,62,Datsun 240Z (2nd Color),Red Edition Target Exclusive,7/12,
JBB66,62,Datsun 240Z (3rd Color),HW Art Cars,4/10,
HYX09,63,Monteracer,X-Raycers,4/10,
HYX86,63,Monteracer (2nd Color),X-Raycers,4/10,
HYX10,64,Arrow Dynamic,X-Raycers,5/10,
HYX98,64,Arrow Dynamic (2nd Color),X-Raycers,5/10,
HYX11,65,El Viento,X-Raycers,6/10,
HYY06,65,El Viento (2nd Color),X-Raycers,6/10,
HYW20,66,Street Shrieker,Hot Wheels Let's Race New for 2025!,3/5,
JBC08,66,Street Shrieker (2nd Color),Hot Wheels Let's Race New for 2025!,3/5,
HYX12,67,Rodger Dodger,Hot Wheels Let's Race,4/5,
JHV10,68,Draggin' Wagon,HW Ride-Ons,3/5,
HYX69,68,Draggin' Wagon (2nd Color),HW Ride-Ons,3/5,
HYX14,69,Hi-Roller,Rod Squad,5/10,
HYX70,69,Hi-Roller (2nd Color),Rod Squad,5/10,
HYX15,70,HW50 Concept,Rod Squad,6/10,
HYX71,70,HW50 Concept (2nd Color),Rod Squad,6/10,
HYX16,71,Punk Rod,HW Modified,3/5,
HYX72,71,Punk Rod (2nd Color),HW Modified,3/5,
HYY16,71,Punk Rod (3rd Color - Zamac),HW Modified Walmart Exclusive,3/5,
HYW15,72,Cupra e-Racer,HW EV New for 2025!,4/10,
HYX46,72,Cupra e-Racer (2nd Color),HW EV New for 2025!,4/10,
JBB16,73,2020 Ford Mustang Shelby GT500,Mustang 60th,2/5,
HYY41,73,2020 Ford Mustang Shelby GT500 (2nd Color),Red Edition Target Exclusive,4/12,
HYX17,74,Porsche 911 GT3,HW Race Day,1/10,
HYX19,75,Jaguar Mk1,HW Race Day,2/10,
JBB58,75,Jaguar Mk1 (2nd Color),HW Race Day,2/10,
HYX20,76,'74 Brazilian Dodge Charger,HW Celebration Racers International Women's Day,3/10,
HYX21,77,BMW 2002,HW: '70s vs. '90s,5/10,
HYY14,77,BMW 2002 (2nd Color - Zamac),HW: '70s vs. '90s Walmart Exclusive,5/10,
JBB61,77,BMW 2002 (3rd Color),HW: '70s vs. '90s,5/10,
HYX22,78,'71 Lamborghini Miura SV,HW: '70s vs. '90s,6/10,
HYX73,78,'71 Lamborghini Miura SV (2nd Color),HW: '70s vs. '90s,6/10,
HYY27,78,'71 Lamborghini Miura SV (3rd Color),HW: '70s vs. '90s Dollar Tree/Family Dollar Exclusive,6/10,
HYX23,79,Toyota GR86 Cup,Compact Kings,1/10,
HYX74,79,Toyota GR86 Cup (2nd Color),Compact Kings,1/10,
JBB18,80,'15 Mazda MX-5 Miata,Compact Kings,2/10,
HYX25,81,Chevy Blazer 4×4,HW Dirt,3/10,
JBB78,81,Chevy Blazer 4×4 (2nd Color),HW Dirt,3/10,
HYW31,82,Tesla Cyberquad,HW Dirt New for 2025!,4/10,
HYX91,82,Tesla Cyberquad (2nd Color),HW Dirt New for 2025!,4/10,
HYX27,83,K.I.T.T.,HW Screen Time,5/10,
HYY73,84,Gotta Go,HW Designed By,3/5,
HYX94,84,Gotta Go (2nd Color),HW Designed By,3/5,
HYX29,85,Street Wiener,Fast Foodie,1/5,
HYX83,85,Street Wiener (2nd Color),Fast Foodie,1/5,
HYX30,86,Silverado EV RST,HW EV,6/10,
JBB64,86,Silverado EV RST (2nd Color),HW EV,6/10,
HYY28,86,Silverado EV RST (3rd Color),HW EV Dollar Tree/Family Dollar Exclusive,6/10,
HYX31,87,'70 Plymouth Superbird,HW Art Cars,7/10,
HYX96,87,'70 Plymouth Superbird (2nd Color),HW Art Cars,7/10,
HYX32,88,Ain't Fare,HW Art Cars,8/10,
JBB67,88,Ain't Fare (2nd Color),HW Art Cars,8/10,
HYX33,89,Stockar,X-Raycers,7/10,
HYY07,89,Stockar (2nd Color),X-Raycers,7/10,
HYW23,90,Gordon Murray Automotive T.33,Factory Fresh New for 2025!,4/5,
JBB70,90,Gordon Murray Automotive T.33 (2nd Color),Factory Fresh New for 2025!,4/5,
HYX34,91,Cruise Bruiser,HW Reverse Rake,1/5,
HYX77,91,Cruise Bruiser (2nd Color),HW Reverse Rake,1/5,
HYX35,92,Dune It Up,Track Aces,2/5,
HYX87,92,Dune It Up (2nd Color),Track Aces,2/5,
HYX36,93,1975 Datsun Sunny Truck (B120),HW Hot Trucks New in Mainline,6/10,
JBC38,93,1975 Datsun Sunny Truck (B120),HW Hot Trucks New in Mainline Super Treasure Hunt,6/10,
HYX37,94,'99 Ford F-150 SVT Lightning,HW Hot Trucks,7/10,
JBB53,94,'99 Ford F-150 SVT Lightning (2nd Color),HW Hot Trucks,7/10,
JBC23,95,Pedal Driver,HW Ride-Ons Treasure Hunt,4/5,
HYY54,96,'23 Ram 1500,HW Reverse Rake,2/5,
HYX39,97,Mid Mill,Rod Squad,7/10,
HYX79,97,Mid Mill (2nd Color),Rod Squad,7/10,
HYW25,98,Hako Type D,HW J-Imports New for 2025!,4/5,
HYX80,98,Hako Type D (2nd Color),HW J-Imports New for 2025!,4/5,
HYX40,99,Cadillac Project GTP Hypercar,HW Exotics,1/5,
HYY36,99,Cadillac Project GTP Hypercar (2nd Color - Zamac),HW Exotics Walmart Exclusive,1/5,
JBB91,99,Cadillac Project GTP Hypercar (3rd Color),HW Exotics,1/5,
HYX41,100,Porsche 904 Carrera GTS,HW Race Day,3/10,
HYY03,100,Porsche 904 Carrera GTS (2nd Color),HW Race Day,3/10,
JBC54,100,Porsche 904 Carrera GTS (3rd Color),HW Race Day Walgreens Exclusive,3/10,
HYY99,101,Chevy Super Volt,HW EV,7/10,
HYX43,102,'76 Chevy Chevette,Compact Kings,3/10,
HYX44,103,TV Series Batmobile,Batman,3/5,
HYY05,103,TV Series Batmobile (2nd Color),Batman,3/5,
HYW26,104,Optimus Prime,HW Screen Time New for 2025!,6/10,
HYY50,105,RD-06,HW Designed By,4/5,
HYX82,105,RD-06 (2nd Color),HW Designed By,4/5,
HYY51,106,Sushi Tuner,Fast Foodie,2/5,
JBC01,106,Sushi Tuner (2nd Color),Fast Foodie,2/5,
HYY52,107,Aston Martin DB4GT High-Speed Edition,HW Dream Garage,3/5,
JBC39,107,Aston Martin DB4GT High-Speed Edition,HW Dream Garage Super Treasure Hunt,3/5,
HYW28,108,Slide-Burn,HW Dream Garage New for 2025!,4/5,
HYX84,108,Slide-Burn (2nd Color),HW Dream Garage New for 2025!,4/5,
HYY53,109,Power Rocket,X-Raycers,8/10,
JBB69,109,Power Rocket (2nd Color),X-Raycers,8/10,
JBC24,110,Rig Storm,X-Raycers Treasure Hunt,9/10,
HYX38,111,'58 Chevy Impala,Rod Squad,8/10,
HYY55,112,Later Crater,HW Reverse Rake,3/5,
JBB71,112,Later Crater (2nd Color),HW Reverse Rake,3/5,
JBB17,113,Ford Escort,Compact Kings,4/10,
JBB99,113,Ford Escort (2nd Color),Compact Kings,4/10,
HYW27,114,Drift-Ender,HW First Response New for 2025!,4/5,
HYY00,114,Drift-Ender (2nd Color),HW First Response New for 2025!,4/5,
JBB19,115,'75 Chevy Blazer Custom,HW Dirt New in Mainline,5/10,
HYY01,115,'75 Chevy Blazer Custom (2nd Color),HW Dirt New in Mainline,5/10,
HYY49,115,'75 Chevy Blazer Custom (3rd Color),Red Edition Target Exclusive,12/12,
HYY57,116,Slide Kick,Experimotors,1/10,
HYY02,116,Slide Kick (2nd Color),Experimotors,1/10,
HYY58,117,Flippin Fast,Experimotors,2/10,
HYX88,117,Flippin Fast (2nd Color),Experimotors,2/10,
HYY59,118,Skull Shaker,Experimotors,3/10,
